data_size,crossover_rate,mutation_rate,elite_percentage,execution_time,final_fitness
50,0.3,0.3,0.3,1.024553200000355,0.9750666666666665
50,0.3,0.3,0.4,0.8211467999999513,0.9653333333333333
50,0.3,0.3,0.5,0.6683328000003712,0.9639333333333333
50,0.3,0.3,0.6,0.5663242000000537,0.9487333333333332
50,0.3,0.3,0.7,0.26917850000018007,0.9242000000000001
50,0.3,0.3,0.8,0.17731099999991784,0.9167333333333334
50,0.3,0.4,0.3,1.0414965999998458,0.968
50,0.3,0.4,0.4,0.841761900000165,0.9543333333333333
50,0.3,0.4,0.5,0.6862800000003517,0.9634
50,0.3,0.4,0.6,0.4924673000000439,0.9631333333333334
50,0.3,0.4,0.7,0.2888566000001447,0.9397999999999997
50,0.3,0.4,0.8,0.16885960000035993,0.9106666666666667
50,0.3,0.5,0.3,1.07384490000004,0.962
50,0.3,0.5,0.4,0.8787517000000662,0.9648666666666668
50,0.3,0.5,0.5,0.6758168999999725,0.9722
50,0.3,0.5,0.6,0.5165797999998176,0.9746666666666666
50,0.3,0.5,0.7,0.3625024000002668,0.9539333333333333
50,0.3,0.5,0.8,0.1616145000002689,0.9212666666666667
50,0.3,0.6,0.3,1.1171312000001308,0.9664666666666666
50,0.3,0.6,0.4,0.9156763000000865,0.9730666666666667
50,0.3,0.6,0.5,0.706406600000264,0.9698
50,0.3,0.6,0.6,0.5038688000004186,0.9604666666666667
50,0.3,0.6,0.7,0.3397552999999789,0.9585333333333331
50,0.3,0.6,0.8,0.16300289999981032,0.9263333333333333
50,0.3,0.7,0.3,1.2425342999999884,0.9636666666666667
50,0.3,0.7,0.4,0.9661923000003299,0.9742000000000001
50,0.3,0.7,0.5,0.7440189999997529,0.9713333333333333
50,0.3,0.7,0.6,0.5422427000003154,0.9709333333333335
50,0.3,0.7,0.7,0.33361310000009325,0.9532000000000002
50,0.3,0.7,0.8,0.22988320000013118,0.9198000000000001
50,0.3,0.8,0.3,1.194224999999733,0.9610000000000001
50,0.3,0.8,0.4,1.0329281999997875,0.9620666666666666
50,0.3,0.8,0.5,0.7686157000002822,0.9652666666666667
50,0.3,0.8,0.6,0.5345135999996273,0.9638666666666668
50,0.3,0.8,0.7,0.3648454999997739,0.9499999999999998
50,0.3,0.8,0.8,0.23460759999989023,0.9414
50,0.4,0.3,0.3,1.318362199999683,0.9565999999999999
50,0.4,0.3,0.4,1.1148309999998673,0.9731333333333334
50,0.4,0.3,0.5,0.8362323999999717,0.9536
50,0.4,0.3,0.6,0.6575248999997712,0.9453333333333334
50,0.4,0.3,0.7,0.42757449999999153,0.9212666666666667
50,0.4,0.3,0.8,0.2578421999996863,0.9181333333333332
50,0.4,0.4,0.3,1.3530126000000564,0.9692666666666666
50,0.4,0.4,0.4,1.0952586999997038,0.9751333333333333
50,0.4,0.4,0.5,0.8874736000002486,0.9610666666666667
50,0.4,0.4,0.6,0.6653978000003917,0.9745333333333333
50,0.4,0.4,0.7,0.45991479999975127,0.9586
50,0.4,0.4,0.8,0.2805035000001226,0.9110666666666665
50,0.4,0.5,0.3,1.3385911000000306,0.959
50,0.4,0.5,0.4,1.2002407999998468,0.9708000000000002
50,0.4,0.5,0.5,0.8088357999999971,0.9729999999999999
50,0.4,0.5,0.6,0.6520920000002661,0.9645999999999999
50,0.4,0.5,0.7,0.45398629999999685,0.9529333333333335
50,0.4,0.5,0.8,0.19528829999990194,0.9377333333333333
50,0.4,0.6,0.3,1.4586002000000917,0.9663999999999999
50,0.4,0.6,0.4,1.23705259999997,0.9719333333333333
50,0.4,0.6,0.5,0.9631011999999828,0.9754666666666667
50,0.4,0.6,0.6,0.7134180000002743,0.9682000000000001
50,0.4,0.6,0.7,0.43584680000003573,0.9466666666666669
50,0.4,0.6,0.8,0.29316759999983333,0.9244666666666668
50,0.4,0.7,0.3,1.5443184000000656,0.9647333333333334
50,0.4,0.7,0.4,1.2644600999997238,0.9624666666666666
50,0.4,0.7,0.5,0.9936767000003783,0.9779333333333332
50,0.4,0.7,0.6,0.7684115000001839,0.9673333333333332
50,0.4,0.7,0.7,0.4892870999997285,0.9611333333333331
50,0.4,0.7,0.8,0.24571130000003905,0.9410000000000001
50,0.4,0.8,0.3,1.4509761000003891,0.9774666666666667
50,0.4,0.8,0.4,1.3319351999998617,0.9666666666666666
50,0.4,0.8,0.5,1.106796800000211,0.9624
50,0.4,0.8,0.6,0.7952129000000241,0.9652666666666668
50,0.4,0.8,0.7,0.5298672999997507,0.9572666666666667
50,0.4,0.8,0.8,0.3021653000000697,0.9404666666666666
50,0.5,0.3,0.3,1.6531420000001162,0.9585999999999999
50,0.5,0.3,0.4,1.4379735000002256,0.9767999999999999
50,0.5,0.3,0.5,1.1925456000003578,0.9672666666666668
